publish_day_index,date,slot,load_hat_kw,pv_hat_kw,net_hat_kwh
21,2025-01-22T00:00:00,126,4595.62915213,244.753357201,725.145965822
21,2025-01-22T00:00:00,127,4542.04244239,246.43125649,715.93519765
21,2025-01-22T00:00:00,128,4480.86266254,247.735882461,705.521130013
21,2025-01-22T00:00:00,129,4508.99504787,248.660749315,710.055716426
21,2025-01-22T00:00:00,130,4582.95589492,249.211625903,722.290711503
21,2025-01-22T00:00:00,131,4109.37967069,249.405405164,643.329044254
21,2025-01-22T00:00:00,132,3356.51976875,249.268794128,517.875162437
21,2025-01-22T00:00:00,133,3256.09953415,248.836856253,501.210446316
21,2025-01-22T00:00:00,134,3411.7970783,248.151440113,527.274273032
21,2025-01-22T00:00:00,135,3420.72632308,247.259530091,528.911132165
21,2025-01-22T00:00:00,136,3287.38416315,246.211555673,506.862101245
21,2025-01-22T00:00:00,137,3285.18117971,245.059696215,506.686913916
21,2025-01-22T00:00:00,138,3411.83945659,243.856217575,527.997206503
21,2025-01-22T00:00:00,139,3423.25020003,242.651875919,530.099720685
21,2025-01-22T00:00:00,140,3456.77441644,241.494422226,535.879999036
21,2025-01-22T00:00:00,141,3564.88286126,240.427238587,554.075937113
21,2025-01-22T00:00:00,142,3633.01628471,239.488134461,565.588025042
21,2025-01-22T00:00:00,143,3617.31512469,238.708327521,563.101132862
21,2025-01-22T00:00:00,144,3559.10111427,238.111629793,553.498247413
22,2025-01-23T00:00:00,1,3533.05848744,3.59633831575,588.24369152
22,2025-01-23T00:00:00,2,3597.82084804,3.87207461549,598.991462237
22,2025-01-23T00:00:00,3,3674.57152504,4.29941968291,611.712017559
22,2025-01-23T00:00:00,4,3696.386842,4.85861826428,615.254703956
22,2025-01-23T00:00:00,5,3726.1850151,5.52268464685,620.11038841
22,2025-01-23T00:00:00,6,3830.92692755,6.25823273629,637.444782469
22,2025-01-23T00:00:00,7,3985.95351134,7.02651969175,663.154498609
22,2025-01-23T00:00:00,8,3933.96570387,7.78468108619,654.363503798
22,2025-01-23T00:00:00,9,3776.46256178,8.48713139252,627.995905065
22,2025-01-23T00:00:00,10,3863.27966173,9.08709991677,642.365426969
22,2025-01-23T00:00:00,11,3889.4177707,9.53826917827,646.646583588
22,2025-01-23T00:00:00,12,3799.75372882,9.79648023324,631.659541432
22,2025-01-23T00:00:00,13,3865.14029353,9.82146760066,642.553137655
22,2025-01-23T00:00:00,14,3989.3816654,9.57858531568,663.300513347
22,2025-01-23T00:00:00,15,4018.64832492,9.04048522937,668.267973282
22,2025-01-23T00:00:00,16,3924.18023072,8.18870900692,652.665253619
22,2025-01-23T00:00:00,17,4001.71704865,7.01515634649,665.783648717
22,2025-01-23T00:00:00,18,4152.58450181,5.52339373398,691.176851346
22,2025-01-23T00:00:00,19,4010.73476813,3.72977053583,667.834166266
22,2025-01-23T00:00:00,20,4013.45924726,1.66431237333,668.632489147
22,2025-01-23T00:00:00,21,4175.72328944,0,695.953881574
22,2025-01-23T00:00:00,22,4069.45701687,0,678.242836146
22,2025-01-23T00:00:00,23,3991.63312043,0,665.272186738
22,2025-01-23T00:00:00,24,4055.58622837,0,675.931038061
22,2025-01-23T00:00:00,25,4068.58491535,0,678.097485892
22,2025-01-23T00:00:00,26,4095.19887624,0,682.53314604
22,2025-01-23T00:00:00,27,4139.87307084,0,689.978845141
22,2025-01-23T00:00:00,28,4132.29191988,0,688.71531998
22,2025-01-23T00:00:00,29,4206.99905497,0,701.166509161
22,2025-01-23T00:00:00,30,4318.16388444,0,719.69398074
22,2025-01-23T00:00:00,31,4285.27298957,0,714.212164928
22,2025-01-23T00:00:00,32,4304.73923763,0,717.456539605
22,2025-01-23T00:00:00,33,4297.83651377,0,716.306085628
22,2025-01-23T00:00:00,34,4098.67105072,0,683.111841786
22,2025-01-23T00:00:00,35,4615.53861655,0.0791517751923,769.24324413
22,2025-01-23T00:00:00,36,5553.75846162,7.97817298872,924.296714772
22,2025-01-23T00:00:00,37,5631.79794334,17.7611985874,935.672790792
22,2025-01-23T00:00:00,38,5489.61570936,30.6828077916,909.822150262
22,2025-01-23T00:00:00,39,5500.6259912,43.4711599099,909.525805216
22,2025-01-23T00:00:00,40,5395.22074242,58.8851207665,889.389270276
22,2025-01-23T00:00:00,41,5372.26655945,97.7794787508,879.081180117
22,2025-01-23T00:00:00,42,5483.89663228,223.046017874,876.808435734
22,2025-01-23T00:00:00,43,5558.70701395,441.118563856,852.931408349
22,2025-01-23T00:00:00,44,5612.58749427,704.425899804,818.026932411
22,2025-01-23T00:00:00,45,5540.39555122,978.521656678,760.312315758
22,2025-01-23T00:00:00,46,5345.49113645,1256.69534939,681.465964509
22,2025-01-23T00:00:00,47,6071.12236408,1522.8995603,758.037133964
22,2025-01-23T00:00:00,48,7259.0226608,1787.59154095,911.905186642
22,2025-01-23T00:00:00,49,7324.98108219,2073.9731724,875.167984966
22,2025-01-23T00:00:00,50,7186.40651305,2342.79781784,807.268115869
22,2025-01-23T00:00:00,51,7312.17055988,2613.17375756,783.166133721
22,2025-01-23T00:00:00,52,7256.03235513,2941.66415733,719.0613663
22,2025-01-23T00:00:00,53,7265.36033573,3241.67186352,670.614745369
22,2025-01-23T00:00:00,54,7335.66324024,3484.89472884,641.794751899
22,2025-01-23T00:00:00,55,7185.21763237,3729.20833242,576.001549992
22,2025-01-23T00:00:00,56,7151.85979575,3995.9049337,525.992477009
22,2025-01-23T00:00:00,57,7264.07620047,4257.72757888,501.058103598
22,2025-01-23T00:00:00,58,7204.54784505,4462.35947284,457.031395368
22,2025-01-23T00:00:00,59,7138.22760009,4613.53551201,420.782014679
22,2025-01-23T00:00:00,60,7112.63778599,4794.32150768,386.386046386
22,2025-01-23T00:00:00,61,7001.33985186,5081.98747128,319.892063431
22,2025-01-23T00:00:00,62,6947.49611845,5281.54829164,277.657971134
22,2025-01-23T00:00:00,63,7001.23403995,5368.5538644,272.113362592
22,2025-01-23T00:00:00,64,7051.48554166,5501.59217912,258.315560424
22,2025-01-23T00:00:00,65,7001.74098586,5619.82618303,230.319133806
22,2025-01-23T00:00:00,66,6918.15374145,5734.04023507,197.352251063
22,2025-01-23T00:00:00,67,6950.09935436,5925.09325682,170.83434959
22,2025-01-23T00:00:00,68,6959.09697735,6044.52041953,152.429426303
22,2025-01-23T00:00:00,69,6919.01494357,6040.02490824,146.498339221
22,2025-01-23T00:00:00,70,6932.61562649,6013.74498638,153.145106685
22,2025-01-23T00:00:00,71,6878.45099508,6060.38478211,136.344368828
22,2025-01-23T00:00:00,72,6676.57944769,6145.96201801,88.4362382796
22,2025-01-23T00:00:00,73,6409.91241268,6166.96372297,40.4914482851
22,2025-01-23T00:00:00,74,6392.49487284,6234.47281488,26.3370096589
22,2025-01-23T00:00:00,75,6497.61015871,6337.53818808,26.6786617714
22,2025-01-23T00:00:00,76,6340.37198503,6323.09964374,2.8787235491
22,2025-01-23T00:00:00,77,6455.65419569,6182.72148045,45.4887858736
22,2025-01-23T00:00:00,78,6763.73701416,6055.91151075,117.970917236
22,2025-01-23T00:00:00,79,6634.31856574,6078.67249344,92.6076787173
22,2025-01-23T00:00:00,80,6602.8879376,5950.9160104,108.661987865
22,2025-01-23T00:00:00,81,6780.41227301,5655.71971134,187.448760278
22,2025-01-23T00:00:00,82,6728.60005667,5481.29069914,207.884892921
22,2025-01-23T00:00:00,83,6695.43008067,5363.59592358,221.972359515
22,2025-01-23T00:00:00,84,6700.37370269,5164.95241444,255.903548042
22,2025-01-23T00:00:00,85,6506.21764222,4832.58433024,278.93888533
22,2025-01-23T00:00:00,86,6458.05019928,4568.68272342,314.894579309
22,2025-01-23T00:00:00,87,6524.60511637,4417.54482935,351.176714503
22,2025-01-23T00:00:00,88,6337.86685752,4226.22092505,351.940988744
22,2025-01-23T00:00:00,89,6268.86484094,3942.47027422,387.732427786
22,2025-01-23T00:00:00,90,6433.00161804,3632.04756966,466.82567473
22,2025-01-23T00:00:00,91,6534.6354021,3390.26311368,524.062048069
22,2025-01-23T00:00:00,92,6428.81537282,3077.76797927,558.507898924
22,2025-01-23T00:00:00,93,6244.6708603,2692.4355875,592.039212133
22,2025-01-23T00:00:00,94,6248.9608615,2382.41337489,644.424581101
22,2025-01-23T00:00:00,95,6336.76586834,2110.99664636,704.29487033
22,2025-01-23T00:00:00,96,6394.60082829,1828.79806659,760.967126949
22,2025-01-23T00:00:00,97,6397.98829703,1528.48983391,811.583077187
22,2025-01-23T00:00:00,98,6333.54228653,1228.22207616,850.886701728
22,2025-01-23T00:00:00,99,6250.01496434,952.43560512,882.929893204
22,2025-01-23T00:00:00,100,6237.69669883,711.404737154,921.04866028
22,2025-01-23T00:00:00,101,6305.4200147,461.23159659,974.031403018
22,2025-01-23T00:00:00,102,6296.97995781,229.696628611,1011.2138882
22,2025-01-23T00:00:00,103,6066.09029655,101.695984361,994.065718699
22,2025-01-23T00:00:00,104,6058.05126451,63.588874689,999.07706497
22,2025-01-23T00:00:00,105,6318.65663981,47.5704888408,1045.18102516
22,2025-01-23T00:00:00,106,6318.63777006,34.1433437235,1047.41573772
22,2025-01-23T00:00:00,107,5475.28253597,20.7936931275,909.081473807
22,2025-01-23T00:00:00,108,4355.74339267,10.4992478103,724.207357476
22,2025-01-23T00:00:00,109,4212.41091,2.10952447186,701.716897588
22,2025-01-23T00:00:00,110,4434.70035268,0,739.116725447
22,2025-01-23T00:00:00,111,4498.72479499,0,749.787465831
22,2025-01-23T00:00:00,112,4452.13505959,0,742.022509931
22,2025-01-23T00:00:00,113,4368.18333858,0,728.03055643
22,2025-01-23T00:00:00,114,4322.17586158,0,720.362643597
22,2025-01-23T00:00:00,115,4364.81328379,0,727.468880632
22,2025-01-23T00:00:00,116,4440.88936889,0,740.148228149
22,2025-01-23T00:00:00,117,4468.07344731,0,744.678907885
22,2025-01-23T00:00:00,118,4407.28535565,0,734.547559276
22,2025-01-23T00:00:00,119,4388.24232573,0,731.373720954
22,2025-01-23T00:00:00,120,4430.06098928,0,738.343498213
22,2025-01-23T00:00:00,121,4427.12396174,0,737.853993623
22,2025-01-23T00:00:00,122,4386.3604781,0,731.060079683
22,2025-01-23T00:00:00,123,4350.34827611,0,725.058046018
22,2025-01-23T00:00:00,124,4366.69981344,0.383065988121,727.719457908
22,2025-01-23T00:00:00,125,4474.5890211,2.46221040953,745.354468448
22,2025-01-23T00:00:00,126,4591.65754312,4.28680122494,764.561790316
22,2025-01-23T00:00:00,127,4565.25149663,5.82405470468,759.904573654
22,2025-01-23T00:00:00,128,4444.49169362,7.05493591088,739.572792951
22,2025-01-23T00:00:00,129,4455.92756474,7.97331373101,741.325708502
22,2025-01-23T00:00:00,130,4675.58238276,8.58488816944,777.832915765
22,2025-01-23T00:00:00,131,4144.07071838,8.90591923904,689.19413319
22,2025-01-23T00:00:00,132,3220.38157382,8.96179005736,535.236630627
22,2025-01-23T00:00:00,133,3280.39830115,8.78543936994,545.268810297
